Ship,Mode,Segment,Country,City,State,Postal,Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,,
First,Class,Home,Office,United,States,San,Francisco,California,94110,West,Office,Supplies,Binders,101.84,,
Standard,Class,Home,Office,United,States,Philadelphia,Pennsylvania,19140,East,Office,Supplies,Binders,10.332,3,,
Standard,Class,Home,Office,United,States,Philadelphia,Pennsylvania,19140,East,Office,Supplies,Binders,31.155,5,,
Standard,Class,Home,Office,United,States,Philadelphia,Pennsylvania,19140,East,Office,Supplies,Storage,8.928,2,,
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Office,Supplies,Appliances,34.384,1,0.2,,
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Office,Supplies,Appliances,1924.16,8,0.2,,
Standard,Class,Consumer,United,States,Dallas,Texas,75220,Central,Office,Supplies,Appliances,32.192,2,0.8,,
Standard,Class,Consumer,United,States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,0.2,-0.6265,,
Standard,Class,Consumer,United,States,Dallas,Texas,75220,Central,Technology,Accessories,47.976,3,0.2,1.7991,,
Standard,Class,Consumer,United,States,Waukesha,Wisconsin,53186,Central,Office,Supplies,Storage,54.5,5,0,,
First,Class,Consumer,United,States,Fort,Lauderdale,Florida,33311,South,Furniture,Furnishings,19.104,3,0.2,,
Standard,Class,Consumer,United,States,Detroit,Michigan,48205,Central,Office,Supplies,Binders,49.44,3,0,,
Standard,Class,Home,Office,United,States,Springfield,Ohio,45503,East,Office,Supplies,Paper,10.368,2,,
Standard,Class,Consumer,United,States,San,Diego,California,92037,West,Office,Supplies,Storage,154.44,3,,
Standard,Class,Corporate,United,States,Colorado,Springs,Colorado,80906,West,Office,Supplies,Appliances,60.984,7,,
Second,Class,Consumer,United,States,Bakersfield,California,93309,West,Furniture,Bookcases,195.466,2,0.15,-13.7976,,
Standard,Class,Corporate,United,States,Pompano,Beach,Florida,33068,South,Furniture,Furnishings,23.68,8,0.2,,
Standard,Class,Corporate,United,States,Pompano,Beach,Florida,33068,South,Technology,Accessories,2.376,3,0.2,,
First,Class,Consumer,United,States,New,York,City,New,York,10035,East,Office,Supplies,Labels,29.6,
Standard,Class,Consumer,United,States,Lakeville,Minnesota,55044,Central,Office,Supplies,Art,22,10,0,,
Standard,Class,Consumer,United,States,Detroit,Michigan,48234,Central,Technology,Phones,257.98,2,0,74.8142,,
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,23.988,2,0.4,-15.992,,
Standard,Class,Corporate,United,States,Troy,Ohio,45373,East,Technology,Phones,23.976,4,0.4,-15.5844,,
First,Class,Home,Office,United,States,Los,Angeles,California,90036,West,Furniture,Chairs,601.536,4,,
First,Class,Home,Office,United,States,Los,Angeles,California,90036,West,Office,Supplies,Fasteners,7.9,,
Standard,Class,Corporate,United,States,Corpus,Christi,Texas,78415,Central,Furniture,Furnishings,58.36,5,0.6,,
Standard,Class,Corporate,United,States,Corpus,Christi,Texas,78415,Central,Office,Supplies,Art,16.464,7,,
Standard,Class,Corporate,United,States,Corpus,Christi,Texas,78415,Central,Furniture,Furnishings,39.96,5,0.6,,
First,Class,Corporate,United,States,Omaha,Nebraska,68104,Central,Office,Supplies,Appliances,25.96,2,0,,
First,Class,Corporate,United,States,Omaha,Nebraska,68104,Central,Office,Supplies,Appliances,36.27,3,0,,
First,Class,Corporate,United,States,Omaha,Nebraska,68104,Central,Office,Supplies,Paper,6.48,1,0,,
Standard,Class,Corporate,United,States,Redondo,Beach,California,90278,West,Technology,Phones,1075.088,14,0.2,,
Standard,Class,Corporate,United,States,Redondo,Beach,California,90278,West,Technology,Phones,438.368,4,0.2,,
Standard,Class,Corporate,United,States,Redondo,Beach,California,90278,West,Office,Supplies,Binders,18.088,7,,
Standard,Class,Corporate,United,States,Redondo,Beach,California,90278,West,Furniture,Bookcases,308.499,3,0.15,,
Standard,Class,Consumer,United,States,Little,Rock,Arkansas,72209,South,Office,Supplies,Art,13.36,4,,
Standard,Class,Consumer,United,States,Little,Rock,Arkansas,72209,South,Office,Supplies,Paper,39.96,2,,
Standard,Class,Consumer,United,States,Little,Rock,Arkansas,72209,South,Office,Supplies,Binders,145.85,5,,
First,Class,Corporate,United,States,Miami,Florida,33180,South,Technology,Phones,783.96,5,0.2,78.396,,
First,Class,Consumer,United,States,Salem,Oregon,97301,West,Office,Supplies,Art,7.88,1,0.2,,
Standard,Class,Consumer,United,States,Las,Cruces,New,Mexico,88001,West,Furniture,Furnishings,41.37,3,,
Standard,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Paper,12.84,3,,
Standard,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Paper,25.68,6,,
Standard,Class,Consumer,United,States,El,Paso,Texas,79907,Central,Furniture,Chairs,47.516,2,0.3,,
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Office,Supplies,Fasteners,9.42,2,0,,
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Office,Supplies,Paper,12.96,2,0,,
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Bookcases,704.9,5,0,56.392,,
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,561.568,2,0.2,28.0784,,
Second,Class,Home,Office,United,States,Milwaukee,Wisconsin,53209,Central,Office,Supplies,Paper,179.82,9,,
Second,Class,Home,Office,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,185.58,6,0,,
Second,Class,Home,Office,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,214.11,3,0,,
Second,Class,Home,Office,United,States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,999.96,4,0,,
Second,Class,Home,Office,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,653.55,3,0,,
Standard,Class,Home,Office,United,States,Franklin,Massachusetts,2038,East,Office,Supplies,Binders,114.6,5,,
Standard,Class,Home,Office,United,States,Franklin,Massachusetts,2038,East,Furniture,Chairs,60.74,1,0,,
Standard,Class,Home,Office,United,States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,124.36,2,0,,
Standard,Class,Home,Office,United,States,Franklin,Massachusetts,2038,East,Office,Supplies,Storage,1088.76,6,,
First,Class,Consumer,United,States,Encinitas,California,92024,West,Office,Supplies,Binders,6.72,5,0.2,,
First,Class,Consumer,United,States,Encinitas,California,92024,West,Furniture,Tables,298.776,3,0.2,7.4694,,
Standard,Class,Consumer,United,States,Anaheim,California,92804,West,Technology,Phones,302.376,3,0.2,22.6782,,
First,Class,Consumer,United,States,Arlington,Texas,76017,Central,Office,Supplies,Art,8.928,2,0.2,,
First,Class,Consumer,United,States,Arlington,Texas,76017,Central,Office,Supplies,Storage,47.584,2,0.2,,
Standard,Class,Home,Office,United,States,Houston,Texas,77041,Central,Office,Supplies,Paper,33.792,8,,
Standard,Class,Home,Office,United,States,Houston,Texas,77041,Central,Furniture,Bookcases,300.5328,2,0.32,,
Standard,Class,Home,Office,United,States,Houston,Texas,77041,Central,Office,Supplies,Binders,2.724,2,,
Standard,Class,Home,Office,United,States,Houston,Texas,77041,Central,Office,Supplies,Envelopes,3.264,2,,
First,Class,Consumer,United,States,Lancaster,Ohio,43130,East,Office,Supplies,Paper,108.336,6,0.2,,
First,Class,Consumer,United,States,Lancaster,Ohio,43130,East,Office,Supplies,Storage,55.92,5,0.2,,
First,Class,Consumer,United,States,Lancaster,Ohio,43130,East,Office,Supplies,Paper,78.304,2,0.2,,
Standard,Class,Consumer,United,States,Portland,Oregon,97206,West,Office,Supplies,Storage,443.92,5,0.2,,
Standard,Class,Consumer,United,States,Portland,Oregon,97206,West,Technology,Phones,155.976,3,0.2,54.5916,,
Second,Class,Corporate,United,States,Hoover,Alabama,35244,South,Office,Supplies,Art,15.47,7,0,,
Second,Class,Corporate,United,States,Hoover,Alabama,35244,South,Office,Supplies,Binders,7.16,2,0,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90036,West,Office,Supplies,Appliances,10.89,1,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90036,West,Office,Supplies,Paper,19.44,3,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90036,West,Office,Supplies,Binders,121.6,5,,
First,Class,Consumer,United,States,Tallahassee,Florida,32303,South,Technology,Machines,695.7,2,0.5,-27.828,,
Second,Class,Corporate,United,States,New,York,City,New,York,10009,East,Office,Supplies,Storage,31.2858,
Standard,Class,Home,Office,United,States,Chesapeake,Virginia,23320,South,Furniture,Chairs,1139.92,4,0,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Office,Supplies,Paper,229.544,7,,
Standard,Class,Consumer,United,States,Huntsville,Texas,77340,Central,Office,Supplies,Storage,143.728,2,0.2,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,36.048,3,0.2,-0.9012,,
Standard,Class,Corporate,United,States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784,,
First,Class,Consumer,United,States,Everett,Massachusetts,2149,East,Office,Supplies,Art,50.94,3,0,,
Standard,Class,Home,Office,United,States,Chicago,Illinois,60653,Central,Office,Supplies,Binders,762.594,3,,
Standard,Class,Corporate,United,States,Roswell,Georgia,30076,South,Furniture,Furnishings,56.28,6,0,15.7584,,
Standard,Class,Corporate,United,States,Roswell,Georgia,30076,South,Office,Supplies,Binders,2690.97,3,0,,
Standard,Class,Corporate,United,States,Palm,Coast,Florida,32137,South,Office,Supplies,Binders,7.434,6,,
First,Class,Corporate,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Storage,64.784,1,0.2,,
Standard,Class,Home,Office,United,States,Columbus,Indiana,47201,Central,Office,Supplies,Paper,28.16,4,,
Second,Class,Consumer,United,States,Oceanside,New,York,11572,East,Furniture,Furnishings,14.98,1,0,,
Second,Class,Consumer,United,States,Oceanside,New,York,11572,East,Furniture,Furnishings,20.32,4,0,,
Same,Day,Corporate,United,States,Franklin,Massachusetts,2038,East,Office,Supplies,Storage,40.29,3,0,,
Standard,Class,Consumer,United,States,Sioux,Falls,South,Dakota,57103,Central,Office,Supplies,Labels,20.23,,
First,Class,Corporate,United,States,San,Diego,California,92037,West,Furniture,Chairs,1603.136,4,0.2,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Furniture,Chairs,225.296,2,0.2,,
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Technology,Accessories,67.8,4,0,4.068,,
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Technology,Phones,377.97,3,0,98.2722,,
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Furniture,Bookcases,1628.82,9,0,374.6286,,
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Office,Supplies,Paper,286.93,7,0,,
Standard,Class,Consumer,United,States,Orlando,Florida,32839,South,Office,Supplies,Paper,20.736,4,0.2,,
Same,Day,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Storage,31.44,3,,
Same,Day,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Appliances,83.79,7,,
Same,Day,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Art,59.52,3,,
Same,Day,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Supplies,31.92,4,,
Second,Class,Consumer,United,States,Toledo,Ohio,43615,East,Office,Supplies,Supplies,14.72,5,0.2,,
Second,Class,Consumer,United,States,Toledo,Ohio,43615,East,Office,Supplies,Storage,38.976,3,0.2,,
Standard,Class,Consumer,United,States,Saint,Petersburg,Florida,33710,South,Furniture,Furnishings,17.088,2,0.2,,
Standard,Class,Corporate,United,States,Tucson,Arizona,85705,West,Office,Supplies,Paper,74.352,3,0.2,,
Standard,Class,Corporate,United,States,Tucson,Arizona,85705,West,Furniture,Chairs,314.352,3,0.2,-35.3646,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90036,West,Office,Supplies,Art,4.26,1,,
Standard,Class,Consumer,United,States,San,Diego,California,92105,West,Office,Supplies,Storage,811.28,8,,
First,Class,Consumer,United,States,New,York,City,New,York,10035,East,Office,Supplies,Fasteners,2.9547,
Second,Class,Consumer,United,States,San,Diego,California,92037,West,Furniture,Chairs,153.568,2,0.2,,
Second,Class,Consumer,United,States,San,Diego,California,92037,West,Furniture,Chairs,1013.488,7,0.2,,
Standard,Class,Home,Office,United,States,Westfield,New,Jersey,7090,East,Office,Supplies,Envelopes,52.34,,
Standard,Class,Home,Office,United,States,Westfield,New,Jersey,7090,East,Office,Supplies,Art,4.66,,
Standard,Class,Home,Office,United,States,Westfield,New,Jersey,7090,East,Technology,Accessories,254.97,3,,
Second,Class,Home,Office,United,States,Orange,New,Jersey,7050,East,Office,Supplies,Binders,25.44,,
Second,Class,Home,Office,United,States,Orange,New,Jersey,7050,East,Office,Supplies,Supplies,27.93,,
Standard,Class,Consumer,United,States,Woodstock,Illinois,60098,Central,Office,Supplies,Binders,8.85,5,0.8,,
Second,Class,Consumer,United,States,San,Francisco,California,94110,West,Furniture,Furnishings,6.96,4,0,,
Standard,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Binders,17.456,2,,
Standard,Class,Consumer,United,States,Tempe,Arizona,85281,West,Furniture,Chairs,307.92,5,0.2,-34.641,,
First,Class,Consumer,United,States,Los,Angeles,California,90008,West,Office,Supplies,Art,6.63,3,,
First,Class,Consumer,United,States,Los,Angeles,California,90008,West,Office,Supplies,Paper,12.96,2,,
First,Class,Consumer,United,States,Los,Angeles,California,90008,West,Office,Supplies,Paper,32.4,5,,
Standard,Class,Corporate,United,States,Seattle,Washington,98105,West,Office,Supplies,Paper,23.85,5,0,,
Second,Class,Consumer,United,States,Lake,Charles,Louisiana,70601,South,Furniture,Chairs,51.96,2,0,,
Second,Class,Consumer,United,States,Lake,Charles,Louisiana,70601,South,Office,Supplies,Binders,17.94,3,,
Standard,Class,Corporate,United,States,Rochester,New,York,14609,East,Office,Supplies,Paper,11.56,2,,
Standard,Class,Corporate,United,States,Rochester,New,York,14609,East,Office,Supplies,Paper,26.4,5,,
Standard,Class,Corporate,United,States,Rochester,New,York,14609,East,Furniture,Furnishings,69.08,11,0,,
Standard,Class,Corporate,United,States,Rochester,New,York,14609,East,Technology,Phones,35.88,3,0,,
Standard,Class,Consumer,United,States,Long,Beach,New,York,11561,East,Office,Supplies,Art,49.65,,
Standard,Class,Corporate,United,States,Charlotte,North,Carolina,28205,South,Technology,Copiers,959.968,4,0.2,,
Standard,Class,Consumer,United,States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,0.3,-5.8346,,
Standard,Class,Consumer,United,States,New,York,City,New,York,10035,East,Technology,Copiers,479.984,,
Standard,Class,Consumer,United,States,New,York,City,New,York,10035,East,Office,Supplies,Labels,6.048,
Standard,Class,Home,Office,United,States,Columbus,Georgia,31907,South,Office,Supplies,Paper,184.66,7,,
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Office,Supplies,Paper,23.12,5,0.2,,
Standard,Class,Corporate,United,States,Highland,Park,Illinois,60035,Central,Office,Supplies,Paper,37.464,7,,
Standard,Class,Corporate,United,States,Highland,Park,Illinois,60035,Central,Furniture,Chairs,539.658,3,0.3,,
Standard,Class,Home,Office,United,States,Seattle,Washington,98115,West,Office,Supplies,Storage,310.12,2,,
Standard,Class,Consumer,United,States,Eagan,Minnesota,55122,Central,Office,Supplies,Paper,8.56,2,0,,
Standard,Class,Consumer,United,States,Eagan,Minnesota,55122,Central,Office,Supplies,Storage,52.4,5,0,,
Standard,Class,Consumer,United,States,Eagan,Minnesota,55122,Central,Office,Supplies,Labels,14.94,3,0,,
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Office,Supplies,Fasteners,11.22,3,0,,
Standard,Class,Consumer,United,States,Coral,Springs,Florida,33065,South,Office,Supplies,Appliances,387.136,4,,
Standard,Class,Consumer,United,States,Hempstead,New,York,11550,East,Office,Supplies,Envelopes,41.4,5,,
Standard,Class,Consumer,United,States,Hempstead,New,York,11550,East,Office,Supplies,Art,35,4,,
Standard,Class,Consumer,United,States,Hempstead,New,York,11550,East,Office,Supplies,Binders,39.552,3,,
Second,Class,Consumer,United,States,Noblesville,Indiana,46060,Central,Technology,Phones,135.72,3,0,35.2872,,
Second,Class,Consumer,United,States,Noblesville,Indiana,46060,Central,Office,Supplies,Binders,12.56,2,0,,
Second,Class,Consumer,United,States,Noblesville,Indiana,46060,Central,Technology,Phones,263.96,4,0,71.2692,,
First,Class,Consumer,United,States,Dallas,Texas,75220,Central,Office,Supplies,Art,5.952,1,0.2,,
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Office,Supplies,Fasteners,15.8,5,0.2,,
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,14.368,2,0.2,3.9512,,
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,70.448,7,0.2,12.3284,,
Same,Day,Consumer,United,States,San,Francisco,California,94109,West,Office,Supplies,Storage,129.3,2,,
Second,Class,Home,Office,United,States,Austin,Texas,78745,Central,Office,Supplies,Binders,3.882,3,,
Standard,Class,Corporate,United,States,Detroit,Michigan,48234,Central,Office,Supplies,Fasteners,6.08,1,0,,
First,Class,Consumer,United,States,Watertown,New,York,13601,East,Office,Supplies,Appliances,19.9,1,,
First,Class,Consumer,United,States,Watertown,New,York,13601,East,Furniture,Furnishings,70.71,1,0,,
Second,Class,Consumer,United,States,Columbus,Georgia,31907,South,Furniture,Furnishings,18.84,3,0,7.9128,,
Standard,Class,Consumer,United,States,Apple,Valley,Minnesota,55124,Central,Office,Supplies,Art,8.64,3,,
Standard,Class,Home,Office,United,States,Burlington,North,Carolina,27217,South,Office,Supplies,Binders,1633.188,,
Standard,Class,Home,Office,United,States,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0,,
Same,Day,Consumer,United,States,San,Francisco,California,94109,West,Office,Supplies,Binders,6.608,2,,
Same,Day,Consumer,United,States,San,Francisco,California,94109,West,Office,Supplies,Binders,7.28,2,,
Same,Day,Consumer,United,States,San,Francisco,California,94109,West,Furniture,Chairs,144.784,1,0.2,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Phones,156.792,1,0.2,13.7193,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Phones,431.976,3,0.2,26.9985,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Office,Supplies,Envelopes,35.89,1,0,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Office,Supplies,Binders,47.208,7,0.2,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Office,Supplies,Paper,248.08,7,0,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Office,Supplies,Paper,189.7,5,0,,
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Office,Supplies,Binders,59.808,3,0.2,,
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,90.99,1,0,14.5584,,
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0,427.4368,,
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,368.97,3,0,40.5867,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90049,West,Office,Supplies,Storage,305.01,9,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90049,West,Furniture,Furnishings,18.7,1,0,,
First,Class,Consumer,United,States,San,Francisco,California,94122,West,Furniture,Furnishings,38.29,7,0,,
Standard,Class,Home,Office,United,States,San,Diego,California,92024,West,Furniture,Furnishings,26.25,3,,
Standard,Class,Home,Office,United,States,San,Diego,California,92024,West,Office,Supplies,Binders,64.96,,
Standard,Class,Home,Office,United,States,San,Diego,California,92024,West,Office,Supplies,Envelopes,43.7,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Technology,Accessories,41.6,4,0.2,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Office,Supplies,Paper,23.12,5,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Furniture,Chairs,113.888,2,0.2,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Furniture,Furnishings,113.568,2,0.2,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Technology,Phones,7.92,2,0.2,,
Same,Day,Home,Office,United,States,Glendale,Arizona,85301,West,Technology,Phones,671.984,2,0.2,,
Standard,Class,Corporate,United,States,New,York,City,New,York,10035,East,Technology,Phones,39.99,,
Standard,Class,Home,Office,United,States,Watertown,New,York,13601,East,Furniture,Chairs,191.646,3,,
Standard,Class,Consumer,United,States,Springfield,Ohio,45503,East,Office,Supplies,Binders,2.313,1,0.7,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90032,West,Office,Supplies,Binders,19.936,4,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90032,West,Office,Supplies,Fasteners,45.92,4,,
Standard,Class,Home,Office,United,States,Seattle,Washington,98115,West,Office,Supplies,Paper,20.34,3,,
Standard,Class,Home,Office,United,States,Seattle,Washington,98115,West,Office,Supplies,Labels,39.28,8,,
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Chairs,81.568,2,0.2,9.1764,,
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Chairs,97.184,2,0.2,6.074,,
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Office,Supplies,Binders,24.32,5,0.2,,
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Furnishings,18.96,2,0,7.584,,
Standard,Class,Consumer,United,States,Skokie,Illinois,60076,Central,Furniture,Furnishings,32.952,6,0.6,-19.7712,,
Standard,Class,Consumer,United,States,Skokie,Illinois,60076,Central,Office,Supplies,Storage,30.016,4,0.2,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Office,Supplies,Appliances,499.584,3,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Office,Supplies,Paper,31.104,6,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Office,Supplies,Binders,13.272,8,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Furniture,Furnishings,28.272,2,0.2,,
Second,Class,Consumer,United,States,Fayetteville,North,Carolina,28314,South,Office,Supplies,Storage,259.136,4,,
Standard,Class,Consumer,United,States,Tulsa,Oklahoma,74133,Central,Office,Supplies,Binders,10.8,5,0,,
Standard,Class,Consumer,United,States,Allen,Texas,75002,Central,Furniture,Tables,244.006,2,0.3,-31.3722,,
Standard,Class,Consumer,United,States,Allen,Texas,75002,Central,Office,Supplies,Paper,15.936,4,0.2,,
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,188.552,7,0.3,-2.6936,,
Second,Class,Consumer,United,States,Rochester,New,York,14609,East,Office,Supplies,Storage,22.58,2,,
Second,Class,Consumer,United,States,Mount,Pleasant,South,Carolina,29464,South,Furniture,Chairs,545.94,6,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Office,Supplies,Paper,20.736,4,0.2,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,43.296,2,0.2,4.3296,,
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,123.136,4,0.2,13.8528,,
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Office,Supplies,Binders,11.264,4,0.2,,
Second,Class,Consumer,United,States,Springfield,Oregon,97477,West,Office,Supplies,Storage,53.424,3,0.2,,
Second,Class,Consumer,United,States,Springfield,Oregon,97477,West,Furniture,Tables,275.49,1,0.5,-170.8038,,
Standard,Class,Home,Office,United,States,Columbus,Georgia,31907,South,Furniture,Furnishings,24.96,4,0,,
Standard,Class,Home,Office,United,States,Columbus,Georgia,31907,South,Office,Supplies,Paper,19.36,2,,
Standard,Class,Home,Office,United,States,Columbus,Georgia,31907,South,Office,Supplies,Storage,1267.65,9,,
Second,Class,Corporate,United,States,Los,Angeles,California,90032,West,Technology,Accessories,12.99,1,0,,
Second,Class,Corporate,United,States,Los,Angeles,California,90032,West,Office,Supplies,Binders,18.56,4,,
Second,Class,Corporate,United,States,Los,Angeles,California,90032,West,Office,Supplies,Storage,449.15,5,,
Second,Class,Corporate,United,States,Los,Angeles,California,90032,West,Office,Supplies,Binders,31.248,7,,
Standard,Class,Corporate,United,States,New,York,City,New,York,10024,East,Office,Supplies,Appliances,16.5888,
Standard,Class,Consumer,United,States,Detroit,Michigan,48227,Central,Office,Supplies,Binders,895.92,4,0,,
Second,Class,Consumer,United,States,Stockton,California,95207,West,Office,Supplies,Binders,55.36,4,0.2,,
Standard,Class,Consumer,United,States,Phoenix,Arizona,85023,West,Office,Supplies,Storage,55.92,5,0.2,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Envelopes,24.896,4,0.2,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,0.2,0.6474,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,0.2,28.7904,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Appliances,44.416,2,0.2,,
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Binders,9.006,2,0.7,,
Standard,Class,Home,Office,United,States,Sterling,Heights,Michigan,48310,Central,Office,Supplies,Binders,19,,
Standard,Class,Home,Office,United,States,Rochester,New,York,14609,East,Office,Supplies,Binders,33.376,,
First,Class,Home,Office,United,States,New,York,City,New,York,10011,East,Office,Supplies,0,62.244
Standard,Class,Home,Office,United,States,Eau,Claire,Wisconsin,54703,Central,Office,Supplies,Binders,91.68,,
First,Class,Consumer,United,States,New,York,City,New,York,10009,East,Office,Supplies,Appliances,253.372,
Standard,Class,Consumer,United,States,Rancho,Cucamonga,California,91730,West,Office,Supplies,Binders,34.272,3,,
First,Class,Consumer,United,States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0,74.8098,,
Standard,Class,Corporate,United,States,Toledo,Ohio,43615,East,Office,Supplies,Appliances,243.88,5,0.2,,
Standard,Class,Home,Office,United,States,Louisville,Colorado,80027,West,Office,Supplies,Binders,12.03,5,,
Standard,Class,Home,Office,United,States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,,
Standard,Class,Home,Office,United,States,Louisville,Colorado,80027,West,Office,Supplies,Binders,21.594,2,,
Standard,Class,Home,Office,United,States,Louisville,Colorado,80027,West,Office,Supplies,Binders,8.964,6,,
Standard,Class,Home,Office,United,States,Louisville,Colorado,80027,West,Office,Supplies,Paper,20.736,4,,
Standard,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Furniture,Tables,-103.266,
Standard,Class,Home,Office,United,States,Pharr,Texas,78577,Central,Office,Supplies,Storage,727.296,8,,
Standard,Class,Home,Office,United,States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,,
Standard,Class,Home,Office,United,States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,,
Standard,Class,Consumer,United,States,West,Jordan,Utah,84084,West,Office,Supplies,Fasteners,5.04,3,,
Standard,Class,Consumer,United,States,West,Jordan,Utah,84084,West,Office,Supplies,Paper,92.94,3,,
Standard,Class,Consumer,United,States,West,Jordan,Utah,84084,West,Furniture,Furnishings,66.69,3,0,,
